time_s,activity
1.514495968818664551e+00,9.765625000000000000e-04
1.518847942352294922e+00,4.882812500000000000e-04
1.523200035095214844e+00,4.882812500000000000e-04
1.527552008628845215e+00,9.765625000000000000e-04
1.531903982162475586e+00,1.708984375000000000e-03
1.536255955696105957e+00,1.464843750000000000e-03
1.540608048439025879e+00,7.324218750000000000e-04
1.544960021972656250e+00,1.464843750000000000e-03
1.549311995506286621e+00,1.220703125000000000e-03
1.553663969039916992e+00,1.708984375000000000e-03
1.558015942573547363e+00,1.953125000000000000e-03
1.562368035316467285e+00,4.882812500000000000e-04
1.566720008850097656e+00,3.173828125000000000e-03
1.571071982383728027e+00,7.324218750000000000e-04
1.575423955917358398e+00,7.324218750000000000e-04
1.579776048660278320e+00,7.324218750000000000e-04
1.584128022193908691e+00,4.882812500000000000e-04
1.588479995727539062e+00,7.324218750000000000e-04
1.592831969261169434e+00,1.708984375000000000e-03
1.597183942794799805e+00,1.220703125000000000e-03
1.601536035537719727e+00,1.220703125000000000e-03
1.605888009071350098e+00,9.765625000000000000e-04
1.610239982604980469e+00,1.220703125000000000e-03
1.614591956138610840e+00,1.708984375000000000e-03
1.618944048881530762e+00,9.765625000000000000e-04
1.623296022415161133e+00,1.708984375000000000e-03
1.627647995948791504e+00,9.765625000000000000e-04
1.631999969482421875e+00,9.765625000000000000e-04
1.636351943016052246e+00,1.464843750000000000e-03
1.640704035758972168e+00,7.324218750000000000e-04
1.645056009292602539e+00,2.441406250000000000e-04
1.649407982826232910e+00,1.220703125000000000e-03
1.653759956359863281e+00,1.464843750000000000e-03
1.658112049102783203e+00,4.882812500000000000e-04
1.662464022636413574e+00,4.882812500000000000e-04
1.666815996170043945e+00,1.464843750000000000e-03
1.671167969703674316e+00,4.882812500000000000e-04
1.675519943237304688e+00,7.324218750000000000e-04
1.679872035980224609e+00,3.173828125000000000e-03
1.684224009513854980e+00,4.882812500000000000e-04
1.688575983047485352e+00,7.324218750000000000e-04
1.692927956581115723e+00,9.765625000000000000e-04
1.697280049324035645e+00,7.324218750000000000e-04
1.701632022857666016e+00,7.324218750000000000e-04
1.705983996391296387e+00,2.441406250000000000e-03
1.710335969924926758e+00,4.882812500000000000e-04
1.714687943458557129e+00,1.220703125000000000e-03
1.719040036201477051e+00,4.882812500000000000e-04
1.723392009735107422e+00,7.324218750000000000e-04
1.727743983268737793e+00,7.324218750000000000e-04
1.732095956802368164e+00,2.441406250000000000e-04
1.736448049545288086e+00,3.417968750000000000e-03
1.740800023078918457e+00,1.464843750000000000e-03
1.745151996612548828e+00,9.765625000000000000e-04
1.749503970146179199e+00,9.765625000000000000e-04
1.753855943679809570e+00,4.882812500000000000e-04
1.758208036422729492e+00,1.220703125000000000e-03
1.762560009956359863e+00,2.929687500000000000e-03
1.766911983489990234e+00,1.464843750000000000e-03
1.771263957023620605e+00,4.882812500000000000e-04
1.775616049766540527e+00,1.464843750000000000e-03
1.779968023300170898e+00,1.220703125000000000e-03
1.784319996833801270e+00,1.220703125000000000e-03
1.788671970367431641e+00,4.882812500000000000e-04
1.793023943901062012e+00,2.197265625000000000e-03
